ROI,FDG_mean_raw,FDG_mean_norm,amyloid_mean_raw,amyloid_mean_norm,epi_hazard_FDG_pos,epi_hazard_FDG_neg,epi_hazard_amyloid_pos,epi_hazard_amyloid_neg
1,1.6845873456790121,0.7201309101959457,52.8009622036226,0.5791900251727364,0.8875234138933271,1.3447042904566804,0.9669227261878778,0.8048868383257816
2,1.5875540123456788,0.6210252593505367,21.15864828496835,0.27322855071348445,0.9418126959283312,0.9971894041949261,1.199256521428809,0.46429133390587285
3,1.854861728395062,0.8940418018624631,34.84211219214659,0.405539127099052,0.8062436572822318,2.8737903467431796,1.0865716409086181,0.5651646280052676
4,1.599181172839506,0.6329007383085383,36.11590314165217,0.4178558924931851,0.935063683521975,1.016995496778004,1.0770358464784069,0.5888115157654052
5,1.5165666666666666,0.5485218540399229,42.231880104183006,0.47699358179193085,0.9860540231935547,0.8353361395145562,1.0339351117304432,0.6462954672376123
6,1.6440259259259262,0.6787032299777037,49.46244699508445,0.5469086617321574,0.9097618674310926,1.1661790648062282,0.9873427179351663,0.7454803794238638
7,1.5015604938271605,0.5331951979840182,43.32364405368858,0.4875502594296954,0.9953652082781586,0.8079577757203578,1.0262526159579346,0.6625555587882949
8,1.7097021604938272,0.7457820960573421,15.939613184362035,0.22276373076570194,0.8746113260355411,1.4643575894815242,1.248934581296411,0.42918759930858985
9,1.2239160493827161,0.2496211680601567,8.225148119962517,0.14816965677237848,1.2212931558614568,0.5019489458545028,1.3296293322808428,0.39220340394091185
10,1.7816870370370368,0.8193043362583853,42.59086985477115,0.48046478916595775,0.8390983750322851,2.015283211253646,1.031394649885555,0.6423600041292988
11,1.740585185185185,0.7773246820633043,65.93696710963411,0.7062070138758869,0.8590819419374273,1.6942536807277522,0.8950253892776714,1.1355694633113647
12,1.5953145061728393,0.6289514921738535,20.511559299083842,0.266971603110457,0.9375360186344119,1.003127579192796,1.2055093457216581,0.45325661965910835
13,1.5204638888888888,0.5525023082977985,78.53921432054398,0.828062897995564,0.9838437585420339,0.8760499018665012,0.8355613574041749,1.9133454283293072
14,1.4044694444444443,0.43403059846147085,20.268812188283,0.26462438968819324,1.065646981758034,0.6934137057740611,1.2082493852562666,0.45025763516301537
15,1.5524503086419754,0.5851718543078717,31.06760917577416,0.36904203301139815,0.963983148574592,0.9487159107732894,1.116048306239473,0.5230626331498884
16,1.5040753086419754,0.5357637210926878,27.884948711340204,0.33826768790804246,0.9949502839641665,0.8438994866724425,1.1416849529741826,0.49903852880900584
17,1.4487617283950618,0.47926882204466165,25.073263005604122,0.3110804377450303,1.032859500458074,0.7473525510622572,1.1653032464420012,0.4789236912366996
18,1.4959111111111112,0.5274251627629718,32.28781797065969,0.38084069233167084,1.0004204196900166,0.8299478138707365,1.1065241045705378,0.533288047034361
19,1.4461197530864198,0.47657042270614774,21.482267091406385,0.2763577430802333,1.0345794137987614,0.7442007695958001,1.1968675440549548,0.4548167956144674
20,1.549023765432099,0.5816721312405609,32.342881898226956,0.3813731262273496,0.9658890294925547,0.9377166875038899,1.1059296031374195,0.5314889514204463
21,1.306791049382716,0.33426610945981244,22.157280947745924,0.28288470679398103,1.1422425610588036,0.5978576551245177,1.1891536358668597,0.4604905499086888
22,1.6186280864197533,0.6527629749348335,49.83938879180613,0.5505534542149946,0.9231890897237076,1.1360135596207261,0.9845043854850667,0.7325824803684209
23,1.4541962962962964,0.4848194547026702,75.70365722626858,0.800644826368178,1.0278632945498514,0.765433839001705,0.8478776930357281,1.6589255122996782
24,1.5027552469135803,0.5344154671241336,35.782192072815256,0.41462911423268245,0.9949530589107595,0.8478384461048587,1.079467603684874,0.5562679586204943
25,1.487276543209877,0.518606188476259,63.73331080779604,0.6848990294773655,1.0050195801791406,0.8167355985065542,0.9061518656243248,1.0488196258868303
26,1.551514814814815,0.5842163813645265,61.57368060989232,0.6640167500923613,0.9639800416240566,0.948956117231479,0.9178583429399683,0.9903146004450939
27,1.5787219135802468,0.6120045355805702,41.92449016471895,0.4740213124644049,0.9474946351005423,1.017918364915421,1.0362351448369918,0.6263229628588067
28,1.6077543209876541,0.6416569811153023,40.53325228324695,0.46056890836295283,0.9304997902385778,1.0924551959268858,1.0458789342285078,0.607130987118873
29,1.4735401234567904,0.5045764033173922,51.195717264808835,0.5636683060718407,1.0144189320743076,0.7789587129430587,0.976306899710086,0.7815678637345145
30,1.5844160493827157,0.6178202796689161,64.08575667142283,0.6883069615388304,0.9437417212245447,1.0024470529166507,0.9044738508841184,1.1016308933804912
31,1.5632194444444443,0.5961709839479913,64.64885571562458,0.6937517786995941,0.9563546092638973,0.9565771121993394,0.9014564515166892,1.1044012158390868
32,1.6678243827160493,0.7030099446733563,89.53978807122775,0.9344315969886146,0.8972086288316202,1.2767735305831605,0.789732870461561,3.711581743755898
33,1.4925851851851855,0.5240282058386933,37.67809867522905,0.4329613506488562,1.002518973167143,0.7965922280070911,1.0660995954033716,0.5870638192394726
34,1.458910802469136,0.48963464744750657,41.11914585951457,0.4662341344564644,1.0259202048704148,0.7484412879689353,1.0420854099673167,0.6252665761634973
