roi_index	roi_name	kept	mu_non	sd_non	mu_path	sd_path
105	tau.SUVR.Schaefer200.ROI.idx.105	1	1.150112201053529	0.12065973266775303	1.7213375650795513	0.584761097916753
106	tau.SUVR.Schaefer200.ROI.idx.106	1	1.0874109825326725	0.10514122864743192	1.5999848303296518	0.5948784486632155
107	tau.SUVR.Schaefer200.ROI.idx.107	1	1.1245550018303327	0.11020791417112276	1.8584659727717707	0.5386462879371079
108	tau.SUVR.Schaefer200.ROI.idx.108	1	1.0592453528166743	0.11026845026703637	1.5880016247115627	0.38257526005156234
109	tau.SUVR.Schaefer200.ROI.idx.109	1	1.1127059171195386	0.08498712030623107	1.450517266635022	0.4059934620415713
110	tau.SUVR.Schaefer200.ROI.idx.110	1	1.0932768528950767	0.09622655962889438	1.5221363379629531	0.490057644142509
111	tau.SUVR.Schaefer200.ROI.idx.111	1	1.1117349717850793	0.09990766537061567	1.7473134850097536	0.5410923288750752
112	tau.SUVR.Schaefer200.ROI.idx.112	1	1.0254717984085833	0.14706669906800643	1.5543864351807362	0.6180440537905004
113	tau.SUVR.Schaefer200.ROI.idx.113	1	0.9374615741072849	0.10260389076978257	1.4467770159863222	0.3936455285758094
114	tau.SUVR.Schaefer200.ROI.idx.114	1	0.9581175494354806	0.09066548896963511	1.423276144330608	0.29894527551843325
115	tau.SUVR.Schaefer200.ROI.idx.115	1	1.0762502408995094	0.1094675055249019	1.4568828081966643	0.40016748977983363
116	tau.SUVR.Schaefer200.ROI.idx.116	1	0.9402056910684786	0.09125220183340685	1.4137602973752732	0.29963798659322494
117	tau.SUVR.Schaefer200.ROI.idx.117	1	1.0073000449555078	0.1226928654710324	1.6418969876473557	0.49626155031321123
118	tau.SUVR.Schaefer200.ROI.idx.118	1	0.923083788916626	0.1030445486316228	1.505396564926586	0.11413786780057454
119	tau.SUVR.Schaefer200.ROI.idx.119	1	0.9340340305598209	0.11582516118555926	1.587454184418681	0.46344663510918976
