roi_index	roi_name	n	bic_1g	bic_2g	kept_2g	w	mu_non	sd_non	mu_path	sd_path
127	tau.SUVR.Schaefer200.ROI.idx.127	267	-172.82715702742922	-316.5650658069525	1	0.9128074383129078	1.0829682144894461	0.09647200584653774	1.446917358157652	0.34460495768717386
128	tau.SUVR.Schaefer200.ROI.idx.128	267	-198.3858529778414	-328.72479617842055	1	0.9283407461054966	1.0367897970506896	0.0985451514755762	1.4232851793656167	0.3289997707238667
129	tau.SUVR.Schaefer200.ROI.idx.129	267	-142.3598878503775	-302.7166388580994	1	0.9595491362399188	1.0872254310179006	0.11006274470487508	1.6931309211386663	0.4181089691668737
130	tau.SUVR.Schaefer200.ROI.idx.130	267	-293.53598643120375	-392.78004346391873	1	0.9663349897480652	1.004583542787703	0.09617809850459974	1.4487698282778347	0.31520171105081174
131	tau.SUVR.Schaefer200.ROI.idx.131	267	288.5881663399394	11.459418540861833	1	0.7470556012503207	1.2324421265752925	0.10587587347590381	1.8504037581073807	0.5795170422884642
132	tau.SUVR.Schaefer200.ROI.idx.132	267	206.12630387863882	-71.53972620597436	1	0.7647436332453792	1.1977886774699966	0.09478737515049893	1.7485325572394645	0.5053208043791196
133	tau.SUVR.Schaefer200.ROI.idx.133	267	199.30436630852253	-63.5252792934223	1	0.7908739467718026	1.1636779558552404	0.10625570091337258	1.7560340893993727	0.4961785059897662
134	tau.SUVR.Schaefer200.ROI.idx.134	267	80.87377202707005	-120.30727749570536	1	0.8272917060683246	1.0305475408407272	0.10889744580819047	1.4629105858869371	0.4781975507615977
135	tau.SUVR.Schaefer200.ROI.idx.135	267	102.11984378325758	-160.87817571541223	1	0.845852454035934	1.0947933941155334	0.10155551732747853	1.6768167194704608	0.4368535046974851
136	tau.SUVR.Schaefer200.ROI.idx.136	267	84.57563901403104	-144.90702299024662	1	0.8540727693223698	1.0594685724153001	0.10858913351759636	1.5904574381058627	0.46728743426213437
137	tau.SUVR.Schaefer200.ROI.idx.137	267	-3.813603484310452	-269.36362943013773	1	0.8936418713641221	1.06992682392295	0.09374120720878405	1.5938875582638445	0.4486346139686207
138	tau.SUVR.Schaefer200.ROI.idx.138	267	19.399674717640075	-243.31149400841602	1	0.9010121033034291	1.1004139893766782	0.10090111649205048	1.6963240474804455	0.4442495345618934
139	tau.SUVR.Schaefer200.ROI.idx.139	267	61.18522742700539	-136.1118425831982	1	0.8451692998207753	1.0211662782758024	0.11134724187359667	1.4436188539361432	0.4873778703186404
140	tau.SUVR.Schaefer200.ROI.idx.140	267	-6.6054219405114605	-200.46838828746763	1	0.9082400588080903	0.9776801442078769	0.11554047214184564	1.4549473756110758	0.5078862816212251
141	tau.SUVR.Schaefer200.ROI.idx.141	267	83.44947215993612	-221.8453122943283	1	0.8779431194704276	1.0647335461500809	0.09616165443546991	1.6321285878766527	0.5288252412917918
142	tau.SUVR.Schaefer200.ROI.idx.142	267	16.689188323835538	-208.17945020731062	1	0.8299614578946971	1.1031218303812018	0.09154940220275494	1.5282792681436406	0.4007293349893873
143	tau.SUVR.Schaefer200.ROI.idx.143	267	19.798061476616077	-211.78561749565722	1	0.9029198182270792	1.023605111908786	0.10917866910023837	1.5972741225106077	0.4635605663705289
144	tau.SUVR.Schaefer200.ROI.idx.144	267	-145.08388551470915	-214.03908898973765	1	0.8149946118978862	1.0802660813185254	0.10698925181206517	1.3285725711667271	0.27494143724331077
145	tau.SUVR.Schaefer200.ROI.idx.145	267	-133.14345372566885	-258.04424009183674	1	0.8434412270862118	1.0956474158294403	0.09598146154396402	1.3775278910881252	0.3180788378275827
146	tau.SUVR.Schaefer200.ROI.idx.146	267	-135.58626040503933	-281.37746058094336	1	0.8869034136496603	1.1419127342739512	0.09779631682670421	1.4669307383638392	0.360682554354327
147	tau.SUVR.Schaefer200.ROI.idx.147	267	-93.83873328744174	-261.37572181490316	1	0.9124882302831614	1.099194223173743	0.10488725739872641	1.553649622952093	0.38512221948025505
148	tau.SUVR.Schaefer200.ROI.idx.148	267	-135.37233625145265	-272.21871521590924	1	0.9413434055949386	1.1249076168822685	0.11228261368117291	1.5218390363799936	0.4752986866625275
149	tau.SUVR.Schaefer200.ROI.idx.149	267	-20.550448387015436	-227.19088211369981	1	0.862414836307372	1.0991679745073641	0.09666307594176722	1.540892361649392	0.3886276707435702
150	tau.SUVR.Schaefer200.ROI.idx.150	267	-39.85163686874691	-218.5620830380859	1	0.8692198626187188	0.9622234472740143	0.10188380803820775	1.3417791769445526	0.4190464232554994
